item_id	name	birthdate	birthplace	jobtitle	roles	gender
nm0114095	Lew Brown	1893-12-10	Odessa, Kherson Governorate, Russian Empire [now Ukraine]	Soundtrack/Writer/Music Department	 Soundtrack:378 Writer:11 Music department:4 Producer:3 Actor:2 Thanks:2	M
nm0006239	Charles Previn	1888-01-11	Brooklyn [now in New York City], New York, USA	Music Department/Composer/Soundtrack	 Music department:388 Composer:26 Soundtrack:16 Actor:3 Director:2	M
nm0006304	Morris Stoloff	1898-08-01	Philadelphia, Pennsylvania, USA	Music Department/Soundtrack/Actor	 Music department:492 Soundtrack:6	M
nm0006252	Hugo Riesenfeld	1879-01-26	Vienna, Austria-Hungary [now Austria]	Music Department/Composer/Soundtrack	 Music department:124 Composer:94 Soundtrack:16 Producer:6	M
nm0173027	Alberto Colombo	1888-11-27	New York City, New York, USA	Music Department/Composer/Soundtrack	 Music department:167 Composer:72 Soundtrack:14	M
nm0002202	Roy Webb	1888-10-03	New York City, New York, USA	Music Department/Composer/Soundtrack	 Music department:259 Composer:265 Soundtrack:41 Art director:4 Second Unit Director or Assistant Director:2	M
nm0161430	Frank Churchill	1901-10-20	Rumford, Maine, USA	Soundtrack/Composer/Music Department	 Soundtrack:120 Composer:85 Music department:7 Archive footage:2	M
nm0363316	Leigh Harline	1907-03-26	Salt Lake City, Utah, USA	Composer/Music Department/Soundtrack	 Composer:212 Music department:122 Soundtrack:89	M
nm1345229	Paul J. Smith	1906-10-30	Calumet, Michigan, USA	Composer/Music Department/Soundtrack	 Composer:118 Music department:34 Soundtrack:10 Self:2	NA
nm0005954	C. Bakaleinikoff	1896-04-26	Moscow, Russia	Music Department/Composer/Actor	 Music department:351 Composer:49 Actor:4 Soundtrack:4	M
nm0000055	Alfred Newman	1901-03-17	New Haven, Connecticut, USA	Music Department/Composer/Soundtrack	 Music department:352 Composer:230 Soundtrack:82 Actor:4 Self:3 Archive footage:2	M
nm0368943	Marvin Hatley	1905-04-03	Reed, Oklahoma, USA	Music Department/Soundtrack/Composer	 Music department:97 Soundtrack:85 Composer:34 Actor:18 Self:2 Archive footage:3	M
nm0443253	A.E. Kaye	1905-04-03	NA	Sound Department/Miscellaneous Crew	 Sound department:7	M
nm0753122	Loren L. Ryder	1900-03-09	California, USA	Sound Department/Camera and Electrical Department	 Sound department:19	M
nm0308604	Robert Carson	1909-10-06	Washington, USA	W/r/i/t/e/r	 Writer:30	M
nm0124002	Niven Busch	1903-04-26	New York City, New York, USA	Writer/Actor/Producer	 Writer:29	M
nm0378431	Heinz Herald	1890-10-24	Birnbaum, Germany [now Miedzychód, Wielkopolskie, Poland]	Writer/Director	 Writer:6 Director:4	M
nm0378773	Geza Herczeg	1888-03-01	Budapest, Hungary	W/r/i/t/e/r	 Writer:12	M
nm0706993	Norman Reilly Raine	1894-06-23	Wilkes-Barre, Pennsylvania, USA	W/r/i/t/e/r	 Writer:31	M
nm0132180	Alan Campbell	1904-02-21	Richmond, Virginia, USA	Writer/Miscellaneous Crew	 Writer:18	M
nm0662213	Dorothy Parker	1893-08-22	Long Branch, New Jersey, USA	Writer/Soundtrack	 Writer:45 Soundtrack:16 Self:3 Archive footage:3	F
nm0175091	Marc Connelly	1890-12-13	McKeesport, Pennsylvania, USA	Writer/Actor/Miscellaneous Crew	 Writer:39 Actor:21 Miscellaneous Crew:2 Self:12	M
nm0536941	John Lee Mahin	1902-08-23	Evanston, Illinois, USA	Writer/Producer/Actor	 Writer:55 Producer:3 Actor:2 Miscellaneous Crew:2	M
nm0886861	Dale Van Every	1896-07-23	Egleston, Michigan, USA	Writer/Producer/Miscellaneous Crew	 Writer:35 Producer:6	M
nm0892044	Anthony Veiller	1903-06-23	New York City, New York, USA	Producer/Writer/Director	 Producer:17 Writer:45 Director:2 Self:9	M
nm0217568	Viña Delmar	1903-01-29	New York City, New York, USA	W/r/i/t/e/r	 Writer:26	M
nm0000010	James Cagney	1899-07-17	New York City, New York, USA	Actor/Soundtrack/Director	 Actor:70 Soundtrack:28 Thanks:2 Self:38 Archive footage:87	M
nm0232196	Robert Donat	1905-03-18	Withington, Manchester, England, UK	Actor/Director/Writer	 Actor:21 Self:3 Archive footage:12	M
nm0516876	Gene Lockhart	1891-07-18	London, Ontario, Canada	Actor/Soundtrack/Writer	 Actor:146 Soundtrack:21 Self:9 Archive footage:10	M
nm0002092	John Garfield	1913-03-04	New York City, New York, USA	Actor/Soundtrack/Producer	 Actor:35 Soundtrack:4 Self:11 Archive footage:25	M
nm0605923	Robert Morley	1908-05-26	Semley, Wiltshire, England, UK	Actor/Writer/Director	 Actor:113 Writer:16 Self:48 Archive footage:7	M
nm0047810	Fay Bainter	1893-12-07	Los Angeles, California, USA	Actress/Soundtrack	 Actress:65 Soundtrack:2 Self:7 Archive footage:5	F
nm0837925	Margaret Sullavan	1909-05-16	Norfolk, Virginia, USA	Actress/Soundtrack	 Actress:21 Soundtrack:2 Self:3 Archive footage:11	F
nm0384908	Wendy Hiller	1912-08-15	Bramhall, Cheshire, England, UK	Actress	 Actress:58 Self:9 Archive footage:6	F
nm0000992	Billie Burke	1884-08-07	Washington, District of Columbia, USA	Actress/Soundtrack	 Actress:92 Soundtrack:6 Self:8 Archive footage:18	F
nm0466295	Miliza Korjus	1909-08-18	Warsaw, Poland, Russian Empire [now Warsaw, Mazowieckie, Poland]	Soundtrack/Actress	 Soundtrack:6 Actress:3 Self:2 Archive footage:2	F
nm0001981	Spring Byington	1886-10-17	Colorado Springs, Colorado, USA	Actress/Soundtrack/Miscellaneous Crew	 Actress:120 Soundtrack:6 Self:10 Archive footage:10	F
nm0923380	Carl Jules Weyl	1890-12-06	Stuttgart, Germany	A/r/t/ /D/i/r/e/c/t/o/r	 Art director:48	M
nm0381257	Bernard Herzbrun	1891-01-10	New York City, New York, USA	Art Director/Production Designer	 Art director:286 Production designer:3	M
nm0505227	Boris Leven	1908-08-13	Moscow, Russian Empire [now Russia]	Art Director/Production Designer/Art Department	 Art director:45 Production designer:32	M
nm0052206	Lionel Banks	1901-06-22	Salt Lake City, Utah, USA	Art Director/Art Department/Production Designer	 Art director:234 Art department:12 Production designer:7	M
nm0329129	John B. Goodman	1901-08-15	Denver, Colorado, USA	Art Director/Art Department	 Art director:212 Art department:3	M
nm0355405	Charles D. Hall	1888-04-20	Norwich, Norfolk, England, UK	Art Director/Production Designer/Special Effects	 Art director:142 Production designer:13 Special effects:6 Art department:4 Miscellaneous Crew:3 Visual effects:2	M
nm0005853	Joseph Ruttenberg	1889-07-04	St. Petersburg, Russia	Cinematographer/Camera and Electrical Department	 Cinematographer:141 Camera and Electrical Department:6	M
nm0002146	James Wong Howe	1899-08-28	Guangzhou, China	Cinematographer/Camera and Electrical Department/Director	 Cinematographer:142 Camera and Electrical Department:12 Director:8 Self:4 Archive footage:3	M
nm0588316	Ernest Miller	1885-03-07	Pasadena, California, USA	Cinematographer/Camera and Electrical Department	 Cinematographer:352	M
nm0928346	Harry J. Wild	1901-07-05	New York City, New York, USA	Cinematographer/Camera and Electrical Department	 Cinematographer:123 Camera and Electrical Department:26	M
nm0005735	Ernest Haller	1896-05-31	Los Angeles, California, USA	Cinematographer/Camera and Electrical Department	 Cinematographer:185 Camera and Electrical Department:2	M
nm0005661	Norbert Brodine	1896-12-16	St. Joseph, Missouri, USA	Cinematographer/Camera and Electrical Department/Miscellaneous Crew	 Cinematographer:139 Camera and Electrical Department:4	M
nm0549132	J. Peverell Marley	1901-08-14	San Jose, California, USA	Cinematographer/Camera and Electrical Department	 Cinematographer:134 Camera and Electrical Department:3	M
nm0005872	Leon Shamroy	1901-07-16	New York City, New York, USA	Cinematographer/Camera and Electrical Department/Director	 Cinematographer:121 Camera and Electrical Department:3 Director:2 Self:2	M
nm0002568	Robert De Grasse	1900-02-09	Maplewood, New Jersey, USA	Cinematographer/Camera and Electrical Department/Miscellaneous Crew	 Cinematographer:125 Camera and Electrical Department:20	M
nm0907900	Joseph Walker	1892-08-22	Denver, Colorado, USA	Cinematographer/Camera and Electrical Department	 Cinematographer:146	NA
nm0374934	Tom Held	1889-08-31	Vienna, Austria	Editor/Second Unit Director or Assistant Director/Editorial Department	 Editor:24 Second Unit Director or Assistant Director:7 Editorial department:2	NA
nm0006157	Erich Wolfgang Korngold	1897-05-29	Brünn, Moravia, Austria-Hungary [now Brno, Czech Republic]	Music Department/Soundtrack/Composer	 Music department:28 Soundtrack:23 Composer:21	M
nm0000082	Victor Young	1900-08-08	Chicago, Illinois, USA	Music Department/Soundtrack/Composer	 Music department:371 Soundtrack:281 Composer:217 Actor:5	M
nm0418205	Werner Janssen	1899-06-01	New York City, New York, USA	Composer/Music Department/Producer	 Composer:15 Music department:14 Producer:2 Soundtrack:2	M
nm0006119	Richard Hageman	1882-07-09	Leeuwarden, Friesland, Netherlands	Music Department/Composer/Actor	 Music department:51 Composer:17 Actor:11 Soundtrack:3	M
nm0006307	Herbert Stothart	1885-09-11	Milwaukee, Wisconsin, USA	Soundtrack/Composer/Music Department	 Soundtrack:157 Composer:109 Music department:73 Miscellaneous Crew:2 Thanks:3 Self:3	M
nm0072021	Robert Russell Bennett	1894-06-15	Kansas City, Kansas, USA	Music Department/Composer/Soundtrack	 Music department:71 Composer:24 Soundtrack:8	M
nm0000077	Franz Waxman	1906-12-24	Königshütte, Upper Silesia, Germany [now Chorzów, Slaskie, Poland]	Music Department/Composer/Soundtrack	 Music department:173 Composer:176 Soundtrack:66 Actor:2 Archive footage:2	M
nm0006197	Johnny Mercer	1909-11-18	Savannah, Georgia, USA	Soundtrack/Music Department/Actor	 Soundtrack:893 Music department:14 Actor:4 Composer:3 Writer:2 Thanks:4 Self:44 Archive footage:9	M
nm0911518	Edward Ward	1900-04-03	St. Louis, Missouri, USA	Music Department/Composer/Soundtrack	 Music department:160 Composer:139 Soundtrack:52 Actor:2	M
nm0286609	Chet Forrest	1915-07-31	Brooklyn, New York, USA	Soundtrack/Music Department/Composer	 Soundtrack:103 Music department:11	NA
nm0942243	Bob Wright	1914-09-25	Daytona Beach, Florida, USA	Soundtrack/Music Department/Composer	 Soundtrack:99 Music department:11	NA
nm0152900	Phil Charig	1902-08-31	New York City, New York, USA	Writer/Music Department/Soundtrack	 Music department:2 Soundtrack:4	M
nm0703242	Arthur Quenzer	1905-10-20	New York City, New York, USA	Soundtrack/Music Department	 Soundtrack:7 Music department:3	M
nm0006213	Lionel Newman	1916-01-04	New Haven, Connecticut, USA	Music Department/Soundtrack/Composer	 Music department:351 Soundtrack:81 Composer:45 Self:3 Archive footage:2	NA
nm0642992	Ben Oakland	1909-09-24	Brooklyn, New York, USA	Music Department/Soundtrack/Composer	 Music department:221 Soundtrack:83 Composer:7	M
nm0358564	Oscar Hammerstein II	1895-07-12	New York City, New York, USA	Soundtrack/Writer/Music Department	 Soundtrack:643 Writer:45 Music department:32 Miscellaneous Crew:4 Thanks:6 Self:9 Archive footage:21	M
nm0555541	Johnny Marvin	1897-07-11	Butler, Indian Territory, USA [now Oklahoma, USA]	Soundtrack/Actor/Music Department	 Soundtrack:52 Self:3	M
nm0053127	Victor Baravalle	1885-11-02	Italy	M/u/s/i/c/ /Department	 Music department:19	M
nm0831899	Gregory Stone	1900-07-20	Odessa, Kherson Governorate, Russian Empire [now Ukraine]	Music Department/Composer/Soundtrack	 Music department:79 Composer:17 Soundtrack:17	M
nm0804244	Frank Skinner	1897-12-31	Meredosia, Illinois, USA	Music Department/Composer/Soundtrack	 Music department:424 Composer:272 Soundtrack:27	M
nm0006074	Cy Feuer	1911-01-15	Brooklyn, New York City, New York, USA	Music Department/Composer/Producer	 Music department:204 Composer:75 Producer:4 Miscellaneous Crew:4 Soundtrack:3 Self:8	M
nm0519780	Charles L. Lootens	1900-05-14	NA	Sound/ /Department	 Sound department:27	M
nm0113094	Bernard B. Brown	1898-07-24	LaFarge, Wisconsin, USA	Sound Department/Composer/Music Department	 Sound department:544 Composer:34 Music department:7 Director:3	M
nm0929408	James Wilkinson	1896-09-02	Iowa, USA	Editor/Editorial Department/Sound Department	 Editor:3	M
nm0341178	Eleanore Griffin	1904-04-29	St. Paul, Minnesota, USA	W/r/i/t/e/r	 Writer:24	NA
nm0770196	Dore Schary	1905-08-31	Newark, New Jersey, USA	Writer/Producer/Miscellaneous Crew	 Writer:38 Producer:41 Miscellaneous Crew:13 Actor:5 Production manager:4 Thanks:2 Self:19 Archive footage:9	M
nm0493251	John Howard Lawson	1894-09-25	New York City, New York, USA	W/r/i/t/e/r	 Writer:24 Archive footage:13	M
nm0121781	Marcella Burke	1894-09-25	Illinois, USA	W/r/i/t/e/r	 Writer:2	M
nm0463430	Frederick Kohner	1905-09-25	Teplitz-Schönau, Austria-Hungary [now Teplice, Czech Republic]	Writer/Miscellaneous Crew/Actor	 Writer:38 Actor:2	M
nm0915693	Frank Wead	1895-10-24	Peoria, Illinois, USA	W/r/i/t/e/r	 Writer:37	M
nm0789737	George Bernard Shaw	1856-07-26	Dublin, Ireland, UK [now Republic of Ireland]	Writer/Actor/Director	 Writer:215 Actor:2 Self:7 Archive footage:23	M
nm0198202	Ian Dalrymple	1903-08-26	Johannesburg, South Africa	Producer/Writer/Editor	 Producer:38 Writer:28 Editor:28 Miscellaneous Crew:13 Director:5	M
nm0507021	Cecil Lewis	1898-03-29	Claughton, Birkenhead, Cheshire, England, UK	Writer/Director/Producer	 Writer:10 Director:4 Producer:2 Self:3	M
nm0513744	W.P. Lipscomb	1887-10-01	Merton, Surrey, England, UK	Writer/Producer/Director	 Writer:62 Producer:3	NA
nm0168829	Lenore J. Coffee	1896-07-13	San Francisco, California, USA	Writer/Miscellaneous Crew	 Writer:87	F
nm0258493	Julius J. Epstein	1909-08-22	New York City, New York, USA	Writer/Producer	 Writer:67 Producer:5 Thanks:2 Self:7 Archive footage:3	M
nm0384227	Elizabeth Hill	1901-02-27	Cape Elizabeth, Maine, USA	W/r/i/t/e/r	 Writer:6	F
nm0000071	James Stewart	1908-05-20	Indiana, Pennsylvania, USA	Actor/Soundtrack/Director	 Actor:100 Soundtrack:11 Director:3 Producer:2 Miscellaneous Crew:2 Thanks:7 Self:176 Archive footage:153	M
nm0000059	Laurence Olivier	1907-05-22	Dorking, Surrey, England, UK	Actor/Producer/Director	 Actor:86 Producer:10 Director:7 Soundtrack:6 Miscellaneous Crew:5 Writer:4 Self:51 Archive footage:78	M
nm0001682	Mickey Rooney	1920-09-23	Brooklyn, New York City, New York, USA	Actor/Soundtrack/Producer	 Actor:338 Soundtrack:45 Producer:7 Director:5 Writer:2 Music department:2 Thanks:6 Self:240 Archive footage:78	M
nm0000731	Brian Aherne	1902-05-02	King's Norton, Worcestershire, England, UK	Actor/Soundtrack	 Actor:69 Soundtrack:3 Self:12 Archive footage:3	M
nm0002046	Brian Donlevy	1901-02-09	Cleveland, Ohio, USA	Actor/Producer/Soundtrack	 Actor:122 Soundtrack:2 Self:8 Archive footage:12	M
nm0001647	Claude Rains	1889-11-10	Clapham, London, England, UK	Actor/Soundtrack	 Actor:78 Soundtrack:2 Self:7 Archive footage:32	M
nm0002503	Harry Carey	1878-01-16	The Bronx, New York, USA	Actor/Writer/Producer	 Actor:267 Writer:20 Producer:9 Director:4 Self:4 Archive footage:23	M
nm0000046	Vivien Leigh	1913-11-05	Darjeeling, Bengal Presidency, British India [now West Bengal, India]	Actress/Soundtrack/Writer	 Actress:20 Soundtrack:5 Self:9 Archive footage:57	F
nm0002093	Greer Garson	1904-09-29	London, England, UK	Actress/Soundtrack/Miscellaneous Crew	 Actress:44 Soundtrack:8 Self:42 Archive footage:30	F
nm0567408	Hattie McDaniel	1893-06-10	Wichita, Kansas, USA	Actress/Soundtrack	 Actress:96 Soundtrack:10 Self:2 Archive footage:24	F
nm0646829	Edna May Oliver	1883-11-09	Malden, Massachusetts, USA	Actress/Soundtrack	 Actress:48 Soundtrack:4	F
nm0280242	Geraldine Fitzgerald	1913-11-24	Greystones, County Wicklow, Ireland	Actress/Writer/Producer	 Actress:91 Self:16 Archive footage:3	F
nm0000014	Olivia de Havilland	1916-07-01	Tokyo, Japan	Actress/Soundtrack	 Actress:60 Soundtrack:4 Self:65 Archive footage:30	F
nm0643987	Robert Odell	1896-05-04	Los Angeles, California, USA	Art Director/Art Department	 Art director:45	NA
nm0643578	Martin Obzina	1905-08-17	Chicago, Illinois, USA	Art Director/Art Department/Editor	 Art director:100 Art department:31 Editor:3	NA
nm0379094	Alfred Herman	1889-09-08	New York City, New York, USA	Art Director/Art Department/Set Decorator	 Art director:44 Art department:40	NA
nm1839682	George Dudley	1897-05-08	Detroit, Michigan, USA	Art Director/Art Department	 Art director:13	NA
nm0059730	James Basevi	1890-06-11	Plymouth, Devon, England, UK	Art Director/Special Effects/Art Department	 Art director:87 Special effects:8 Art department:8 Set decorator:2	M
nm0005641	Joseph H. August	1890-04-26	Idaho Springs, Colorado, USA	Cinematographer/Camera and Electrical Department/Art Director	 Cinematographer:159 Camera and Electrical Department:2	M
nm0322688	Bert Glennon	1893-11-19	Anaconda, Montana, USA	Cinematographer/Director/Actor	 Cinematographer:144 Director:11 Actor:2 Camera and Electrical Department:2	M
nm0587926	Arthur C. Miller	1895-07-08	Roslyn, New York, USA	Cinematographer/Camera and Electrical Department	 Cinematographer:146 Camera and Electrical Department:2	NA
nm0005840	Ray Rennahan	1896-05-01	Las Vegas, Nevada, USA	Cinematographer/Camera and Electrical Department/Miscellaneous Crew	 Cinematographer:158 Camera and Electrical Department:12 Miscellaneous Crew:2	M
nm0005838	Georges Périnal	1896-05-01	Paris, France	Cinematographer/Camera and Electrical Department	 Cinematographer:73 Camera and Electrical Department:3	M
nm0097306	Osmond Borradaile	1898-07-17	Winnipeg, Manitoba, Canada	Cinematographer/Camera and Electrical Department/Director	 Cinematographer:27 Camera and Electrical Department:27	M
nm0005877	William V. Skall	1897-10-05	Chicago, Illinois, USA	Cinematographer/Camera and Electrical Department/Miscellaneous Crew	 Cinematographer:53 Camera and Electrical Department:16 Miscellaneous Crew:2	M
nm0005835	Sol Polito	1892-11-12	Palermo, Sicily, Italy	Cinematographer/Camera and Electrical Department	 Cinematographer:167 Camera and Electrical Department:2	M
nm0338946	W. Howard Greene	1895-08-16	River Point, Rhode Island, USA	Cinematographer/Camera and Electrical Department	 Cinematographer:48 Camera and Electrical Department:12	NA
nm0005849	Harold Rosson	1895-04-06	New York City, New York, USA	Cinematographer/Camera and Electrical Department/Second Unit Director or Assistant Director	 Cinematographer:154 Camera and Electrical Department:5	M
nm0281808	Victor Fleming	1889-02-23	La Cañada, California, USA	Director/Cinematographer/Producer	 Director:50 Cinematographer:17 Producer:5 Second Unit Director or Assistant Director:3 Self:4 Archive footage:11	M
nm0939992	Sam Wood	1883-07-10	Philadelphia, Pennsylvania, USA	Director/Producer/Actor	 Director:82 Producer:22 Actor:4 Second Unit Director or Assistant Director:4 Miscellaneous Crew:3 Writer:2 Self:2	M
nm0785731	Fred Sersen	1890-02-24	Wessely an der March, Moravia, Austria-Hungary [now Vaseli nad Moravou, Czech Republic]	Visual Effects/Special Effects/Art Department	 Visual effects:198 Special effects:34 Art department:2	M
nm0181832	Jack Cosgrove	1902-06-09	Avalon, Catalina Island, California, USA	Visual Effects/Special Effects/Second Unit Director or Assistant Director	 Visual effects:26 Special effects:22	M
nm0016825	Fred Albin	1903-12-11	NA	Sound/ /Department		M
nm0424284	Arthur Johns	1889-10-30	Kansas, USA	Sound Department/Editor/Editorial Department	 Sound department:16 Editor:3	M
nm0203482	Roy Davidson	1896-03-03	NA	Special Effects/Miscellaneous Crew/Visual Effects	 Special effects:36 Miscellaneous Crew:3 Visual effects:2 Second Unit Director or Assistant Director:2	M
nm0353894	Edwin C. Hahn	1888-08-02	Maryland, USA	Special effects		M
nm0005738	Byron Haskin	1899-04-22	Portland, Oregon, USA	Director/Special Effects/Cinematographer	 Director:39 Special effects:51 Cinematographer:34 Second Unit Director or Assistant Director:4 Producer:2 Miscellaneous Crew:4 Camera and Electrical Department:2 Self:2	M
nm0318901	A. Arnold Gillespie	1899-10-14	El Paso, Texas, USA	Special Effects/Visual Effects/Art Department	 Special effects:172 Visual effects:35 Art department:27 Art director:10 Self:2 Archive footage:3	M
nm0780880	Roy Seawright	1905-11-19	Los Angeles County, California, USA	Visual Effects/Special Effects/Cinematographer	 Visual effects:165 Special effects:7 Cinematographer:2 Animation department:2 Self:2	M
nm0249643	Farciot Edouart	1894-11-05	Los Angeles, California, USA	Visual Effects/Camera and Electrical Department/Special Effects	 Visual effects:368 Camera and Electrical Department:3	M
nm0421157	Gordon Jennings	1896-06-25	Salt Lake City, Utah, USA	Visual Effects/Special Effects/Second Unit Director or Assistant Director	 Visual effects:182 Special effects:5 Second Unit Director or Assistant Director:4 Cinematographer:3	M
nm0449456	Hal C. Kern	1894-07-14	Anaconda, Montana, USA	Editor/Editorial Department/Miscellaneous Crew	 Editor:28 Editorial department:17 Miscellaneous Crew:11 Producer:2	M
nm0627727	James E. Newcom	1905-08-29	Wayne, Indiana, USA	Editor/Editorial Department/Producer	 Editor:38 Editorial department:12 Producer:6 Self:2	M
nm0294243	Charles Frend	1909-11-21	Pulborough, Sussex, England, UK	Director/Editor/Writer	 Director:24 Editor:18 Writer:5 Self:2	M
nm0522635	Otho Lovering	1892-12-01	Philadelphia, Pennsylvania, USA (some sources say Maryland)	Editor/Editorial Department/Director	 Editor:84 Editorial department:47 Director:5	M
nm0817929	Dorothy Spencer	1909-02-03	Covington, Kentucky, USA	Editor/Actress	 Editor:75 Actress:2 Self:2	F
nm0172141	Anthony Collins	1893-09-03	Hastings, East Sussex, England, UK	Music Department/Composer/Soundtrack	 Music department:50 Composer:26 Soundtrack:10 Actor:2	M
nm0178716	Aaron Copland	1900-11-14	New York City, New York, USA	Soundtrack/Music Department/Composer	 Soundtrack:64 Music department:10 Composer:15 Self:12 Archive footage:6	M
nm0323302	Lud Gluskin	1898-12-16	New York City, New York, USA	Music Department/Composer	 Music department:48 Composer:7 Self:3	M
nm0603188	Lucien Moraweck	1901-05-24	Belfort, France	Music Department/Composer/Soundtrack	 Music department:43 Composer:34 Soundtrack:4	M
nm0002182	Harold Arlen	1905-02-15	Buffalo, New York, USA	Soundtrack/Music Department/Composer	 Soundtrack:901 Music department:19 Composer:5 Thanks:2 Self:12 Archive footage:6	M
nm0361971	E.Y. Harburg	1896-04-08	New York City, New York, USA	Soundtrack/Music Department/Writer	 Soundtrack:472 Music department:11 Writer:5 Composer:2 Thanks:2 Self:6 Archive footage:4	M
nm0221865	Buddy G. DeSylva	1895-01-27	New York, USA	Soundtrack/Music Department/Producer	 Soundtrack:401 Music department:3 Producer:64 Writer:25 Miscellaneous Crew:3 Thanks:3 Self:2	M
nm0006123	W. Franke Harling	1887-01-18	London, England, UK	Music Department/Soundtrack/Composer	 Music department:99 Soundtrack:84 Composer:58	M
nm0500506	John Leipold	1888-02-26	Ulster County, New York, USA	Music Department/Composer/Soundtrack	 Music department:299 Composer:286 Soundtrack:7	M
nm0795640	Leo Shuken	1906-12-08	Los Angeles, California, USA	Music Department/Composer/Soundtrack	 Music department:436 Composer:57 Soundtrack:5	M
nm0249136	Roger Edens	1905-11-09	Hillsboro, Texas, USA	Soundtrack/Music Department/Producer	 Soundtrack:76 Music department:43 Producer:22 Composer:9 Actor:3 Miscellaneous Crew:2 Thanks:3 Archive footage:3	M
nm0006303	George Stoll	1902-05-07	Minneapolis, Minnesota, USA	Music Department/Composer/Soundtrack	 Music department:96 Composer:67 Soundtrack:21 Thanks:3 Self:2	M
nm0006078	Louis Forbes	1902-08-12	St. Louis, Missouri, USA	Music Department/Composer/Soundtrack	 Music department:30 Composer:26 Soundtrack:12	M
nm0006323	Dimitri Tiomkin	1894-05-10	Kremenchuk, Poltava Governorate, Russian Empire [now Ukraine]	Music Department/Soundtrack/Composer	 Music department:145 Soundtrack:173 Composer:126 Producer:2 Self:19 Archive footage:2	M
nm0100287	Phil Boutelje	1895-08-06	Philadelphia, Pennsylvania, USA	Music Department/Soundtrack/Composer	 Music department:47 Soundtrack:31 Composer:14 Actor:2	M
nm0486075	Arthur Lange	1889-04-16	Philadelphia, Pennsylvania, USA	Music Department/Composer/Soundtrack	 Music department:118 Composer:108 Soundtrack:14 Actor:2	M
nm0914249	A.W. Watkins	1895-12-01	Kidderminster, Worcestershire, England, UK	Sound Department/Music Department	 Sound department:167	M
nm0287931	Lewis R. Foster	1898-08-05	Brookfield, Missouri, USA	Director/Writer/Second Unit Director or Assistant Director	 Director:64 Writer:78 Second Unit Director or Assistant Director:4 Producer:2	M
nm0413519	Felix Jackson	1902-06-05	Hamburg, Germany	Producer/Writer/Director	 Producer:16 Writer:35	M
nm0186118	Mildred Cram	1889-10-17	Washington, District of Columbia, USA	Writer/Miscellaneous Crew	 Writer:24	M
nm0501872	Melchior Lengyel	1880-01-12	Balmazújváros, Austria-Hungary [now Hungary]	Writer/Actor/Miscellaneous Crew	 Writer:38	M
nm0873707	Lamar Trotti	1900-10-18	Atlanta, Georgia, USA	Writer/Producer/Music Department	 Writer:61 Producer:16	M
nm0556178	Eric Maschwitz	1901-06-10	Birmingham, England, UK	Soundtrack/Producer/Writer	 Soundtrack:72 Producer:2 Writer:24 Music department:11	M
nm0792670	R.C. Sherriff	1896-06-06	Kingston upon Thames, Surrey, England, UK	W/r/i/t/e/r	 Writer:59	M
nm0921995	Claudine West	1890-01-16	Nottingham, England, UK	Writer/Miscellaneous Crew	 Writer:28	M
nm0118227	Sidney Buchman	1902-03-27	Duluth, Minnesota, USA	Writer/Producer/Soundtrack	 Writer:40 Producer:8	M
nm0102818	Charles Brackett	1892-11-26	Saratoga Springs, New York, USA	Writer/Producer	 Writer:48 Producer:27 Self:5	M
nm0281556	Walter Reisch	1903-05-23	Vienna, Austria-Hungary [now Austria]	Writer/Soundtrack/Director	 Writer:105 Soundtrack:15 Director:6 Producer:4 Self:2 Archive footage:2	M
nm0000697	Billy Wilder	1906-06-22	Sucha, Galicia, Austria-Hungary [now Sucha Beskidzka, Malopolskie, Poland]	Writer/Director/Producer	 Writer:83 Director:27 Producer:14 Miscellaneous Crew:2 Thanks:12 Self:41 Archive footage:27	M
nm0000122	Charles Chaplin	1889-04-16	Walworth, London, England, UK	Soundtrack/Writer/Actor	 Soundtrack:79 Writer:89 Actor:89 Director:72 Editor:56 Producer:38 Composer:20 Music department:9 Thanks:23 Self:31 Archive footage:242	M
nm0000020	Henry Fonda	1905-05-16	Grand Island, Nebraska, USA	Actor/Producer/Soundtrack	 Actor:125 Producer:3 Soundtrack:11 Thanks:4 Self:121 Archive footage:67	M
nm0557339	Raymond Massey	1896-08-30	Toronto, Ontario, Canada	Actor/Writer	 Actor:87 Writer:3 Self:37 Archive footage:14	M
nm0060168	Albert Bassermann	1867-09-07	Mannheim, Germany	Actor/Writer	 Actor:72	M
nm0642988	Jack Oakie	1903-11-12	Sedalia, Missouri, USA	Actor/Soundtrack	 Actor:102 Soundtrack:30 Self:18 Archive footage:17	M
nm0827263	James Stephenson	1889-04-14	Selby, Yorkshire, England, UK	A/c/t/o/r	 Actor:40	M
nm0307326	William Gargan	1905-07-17	Brooklyn, New York, USA	Actor/Soundtrack/Producer	 Actor:104 Soundtrack:3 Self:7 Archive footage:3	M
nm0001677	Ginger Rogers	1911-07-16	Independence, Missouri, USA	Actress/Soundtrack	 Actress:95 Soundtrack:69 Self:107 Archive footage:74	M
nm0000021	Joan Fontaine	1917-10-22	Tokyo, Japan	Actress/Soundtrack/Producer	 Actress:71 Soundtrack:5 Thanks:2 Self:56 Archive footage:32	F
nm0779549	Martha Scott	1912-09-22	Jamesport, Missouri, USA	Actress/Producer	 Actress:95 Producer:2 Self:16 Archive footage:2	F
