商業名稱,商業所在地,資本額,設立年度,設立日期,地址一,地址二,狀態
潮禮品企業社,臺北市大安區敦化南路1段160巷27號,199000,106,106/10/31,305229.838,2770725.75,dismiss
愛莎網路企業社,臺北市大安區敦化南路1段161巷23號,2e+05,106,106/11/03,305530.904,2770721.286,dismiss
喬品麵食館,臺北市大安區敦化南路1段160巷47號1樓,2e+05,106,106/11/16,305178.103,2770726.46,dismiss
獨洋服飾商行,臺北市大安區敦化南路1段161巷60號,1e+05,106,106/11/21,305703.265,2770697.433,dismiss
映璞咖啡店,臺北市大安區敦化南路1段238巷1號,2e+05,106,106/11/14,305296.116,2770347.431,dismiss
芙兒妮服飾店,臺北市大安區敦化南路1段160巷9號,2e+05,106,106/12/18,305297.31,2770724.346,dismiss
信主造型工作室,臺北市大安區敦化南路1段187巷68號,2e+05,106,106/12/07,305754.609,2770590.959,dismiss
翔宇食品,臺北市大安區敦化南路1段169巷8號1樓,1e+05,106,106/12/07,305452.984,2770677.305,dismiss
采緹精品行,臺北市大安區敦化南路1段161巷3號1樓,2e+05,106,106/12/27,305454.004,2770720.576,dismiss
衣甸園精品店,臺北市大安區仁愛路4段151巷35號,5e+06,101,101/01/20,305698.368,2770342.14,dismiss
樂事果童裝店,臺北市大安區仁愛路4段48巷21號,2e+05,101,101/01/31,305210.675,2769934.806,dismiss
安可早餐店,臺北市大安區仁愛路4段48巷5號,80000,101,101/01/30,305211.95,2770023.718,dismiss
王金魄蔬果行,臺北市大安區仁愛路4段105巷9號1樓,30000,101,101/02/01,305539.902,2770164.922,dismiss
紫檀木商行,臺北市大安區仁愛路4段300巷26弄19號,2e+06,101,101/02/20,305844.209,2769867.804,dismiss
鼎佶魯肉飯,臺北市大安區仁愛路4段48巷17號,1e+05,101,101/03/06,305210.906,2769954.56,dismiss
展易萱精品坊,臺北市大安區仁愛路4段345巷15弄2號1樓,90000,101,101/03/16,305921.76,2770195.725,dismiss
卡瑪酒坊,臺北市大安區仁愛路4段222巷15號1樓,2e+05,101,101/05/01,305760.218,2769968.565,dismiss
艾世達服飾店,臺北市大安區仁愛路4段396號,80000,101,101/05/18,306153.383,2770037.669,dismiss
漂亮企業社,臺北市大安區仁愛路4段345巷4弄28號地下,2e+05,101,101/05/17,305718.621,2770198.089,dismiss
小熊先生早餐坊,臺北市大安區仁愛路4段48巷30號,2e+05,101,101/05/24,305197.341,2769907.631,dismiss
瑞司小吃店,臺北市大安區仁愛路4段371號,2e+05,101,101/05/02,305972.241,2770126.496,dismiss
柏菇坊小吃店,臺北市大安區仁愛路4段71巷17號1樓,2e+05,101,101/06/27,305202.173,2770197.275,dismiss
東雅上海菜館,臺北市大安區仁愛路4段112巷17號,2e+05,101,101/06/04,305475.886,2769892.243,dismiss
達人髮藝工作室,臺北市大安區仁愛路4段228之3號,50000,101,101/06/26,305708.699,2770031.92,dismiss
劉家小館,臺北市大安區仁愛路4段27巷8弄10號1樓,49000,101,101/07/09,305006.733;304962.863,2770236.032;2770158.205,dismiss
?御水晶商行,臺北市大安區仁愛路4段411號,2e+05,101,101/07/13,306109.888,2770102.207,dismiss
雅域髮藝名店,臺北市大安區仁愛路4段151巷38號1樓,1e+05,101,101/08/16,305655.28,2770392.44,dismiss
超元氣部屋,臺北市大安區仁愛路4段48巷9號1樓,2e+05,101,101/08/07,305211.951,2769999.42,dismiss
瑜美人咖啡,臺北市大安區仁愛路4段48巷30號,2e+05,101,101/08/27,305197.341,2769907.631,dismiss
香橙餐館,臺北市大安區仁愛路4段345巷4弄4號1樓,2e+05,101,101/09/21,305886.901,2770195.127,dismiss
小熊義廚房,臺北市大安區仁愛路4段48巷5號,2e+05,101,101/09/10,305211.95,2770023.718,dismiss
古德咖啡館,臺北市大安區仁愛路4段122巷6號1樓,2e+05,101,101/10/08,305523.588,2769978.742,dismiss
金喜服飾店,臺北市大安區仁愛路4段413號,2e+05,101,101/10/01,306124.613,2770101.993,dismiss
仁愛餐坊,臺北市大安區仁愛路4段407號地下、407之1號地下,2e+05,101,101/10/05,306093.442,2770102.446,dismiss
手串本舖,臺北市大安區仁愛路4段8巷20號,2e+05,101,101/10/08,304924.352,2770009.73,dismiss
蘿菲精品行,臺北市大安區仁愛路4段151巷11號,30000,101,101/11/29,305688.135,2770191.902,dismiss
晶禧水果小舖,臺北市大安區仁愛路4段411號,80000,101,101/11/23,306109.888,2770102.207,dismiss
養生芥子飲品店,臺北市大安區仁愛路4段381號,2e+05,101,101/12/04,306012.59,2770137.873,dismiss
如發銀樓,臺北市大安區仁愛路4段129號,2e+05,101,101/12/14,305558.474,2770111.336,dismiss
依芙精品店,臺北市大安區仁愛路4段300巷19弄2號,1e+05,102,102/01/30,305962.654,2769895.616,dismiss
來來停車場,臺北市大安區仁愛路4段151巷36號地下,1e+05,102,102/02/22,305655.279,2770386.729,dismiss
大福燒肉店,臺北市大安區仁愛路4段345巷4弄45號1樓,2e+05,102,102/03/04,305618.269,2770220.781,dismiss
紫夢國際髮藝,臺北市大安區仁愛路4段345巷4弄19號,2e+05,102,102/03/22,305762.638,2770221.142,dismiss
??居屋,臺北市大安區仁愛路4段122巷50號,1e+05,102,102/04/26,305518.089,2769704.279,dismiss
巧克波麗滋商行,臺北市大安區仁愛路4段48巷30號,70000,102,102/04/01,305197.341,2769907.631,dismiss
吉味香商行,臺北市大安區仁愛路4段71巷8號1樓,240000,102,102/05/16,305215.304,2770153.369,dismiss
果琳精品店,臺北市大安區仁愛路4段71巷9號,6e+05,102,102/05/21,305201.862,2770169.931,dismiss
釋子精品館,臺北市大安區仁愛路4段345巷4弄6號,350000,102,102/05/31,305877.431,2770195.258,dismiss
柔品餐廳,臺北市大安區仁愛路4段105巷7號1樓,240000,102,102/06/25,305529.907,2770164.993,dismiss
小巷咖啡館,臺北市大安區仁愛路4段122巷6號,2e+05,102,102/06/25,305523.588,2769978.742,dismiss
私櫥私廚商行,臺北市大安區仁愛路4段71巷9號,1e+05,102,102/07/30,305201.862,2770169.931,dismiss
阿寶養生企業社,臺北市大安區仁愛路4段345巷5弄17號1樓,2e+05,102,102/07/31,305989.03,2770160.577,dismiss
宏富商行,臺北市大安區仁愛路4段112巷3弄2號,2e+05,102,102/09/26,305485.491,2769996.02,dismiss
岫雲山房小吃坊,臺北市大安區仁愛路4段300巷35弄10號,150000,102,102/09/03,305963.27,2769755.676,dismiss
嵋琳工作室,臺北市大安區仁愛路4段151巷11號,150000,102,102/09/10,305688.135,2770191.902,dismiss
華元餐坊,臺北市大安區仁愛路4段407號地下407之1號地下,2e+05,102,102/11/13,306093.442,2770102.446,dismiss
相信咖啡屋,臺北市大安區仁愛路4段122巷6號,130000,102,102/11/05,305523.588,2769978.742,dismiss
楓韻美容坊,臺北市大安區仁愛路4段151巷11號1樓,1e+05,102,102/10/21,305688.135,2770191.902,dismiss
浮世蓮蔬食坊,臺北市大安區仁愛路4段345巷2弄11號1樓,248000,102,102/10/31,305858.466,2770166.397,dismiss
荳田布衣店,臺北市大安區仁愛路4段48巷11號,2e+05,102,102/10/31,305211.487,2769992.172,dismiss
享食商號,臺北市大安區仁愛路4段300巷26弄31號,2e+05,102,102/10/07,305821.293,2769886.873,dismiss
可蕙服飾精品商行,臺北市大安區仁愛路4段151巷12號,480000,102,102/10/31,305673.957,2770241.958,dismiss
野柳港生魚鮮店,臺北市大安區仁愛路4段48巷30號,1e+05,103,103/01/17,305197.341,2769907.631,dismiss
仁合小吃店,臺北市大安區仁愛路4段8巷18號(1樓),2e+05,103,103/01/27,304924.419,2770013.238,dismiss
誼豐商店,臺北市大安區仁愛路4段122巷44之1號1樓,1e+05,103,103/01/16,305520.488,2769739.411,dismiss
宇光彩券行,臺北市大安區仁愛路4段48巷9號1樓,60000,103,103/02/14,305211.951,2769999.42,dismiss
饕亭餐飲店,臺北市大安區仁愛路4段105巷7號1樓,150000,103,103/02/17,305529.907,2770164.993,dismiss
馬那工作坊,臺北市大安區仁愛路4段50之38號,2e+05,103,103/02/18,305225.866,2770045.309,dismiss
華鑫精緻自助餐店,臺北市大安區仁愛路4段122巷60號,2e+05,103,103/03/18,305514.069,2769639.946,dismiss
豐聚食坊,臺北市大安區仁愛路4段48巷30號,2e+05,103,103/03/18,305197.341,2769907.631,dismiss
吉吉企業社,臺北市大安區仁愛路4段396號,1e+05,103,103/03/03,306153.383,2770037.669,dismiss
綠原飲品咖啡房,臺北市大安區仁愛路4段300巷26弄31號,2e+05,103,103/03/25,305821.293,2769886.873,dismiss
圓點服飾洋行,臺北市大安區仁愛路4段300巷26弄21號,2e+05,103,103/04/17,305834.014,2769870.792,dismiss
星玥工作室,臺北市大安區仁愛路4段345巷2弄13之1號,2e+05,103,103/04/02,305829.235,2770166.949,dismiss
寶貝貝韓國精品童裝,臺北市大安區仁愛路4段48巷30號,1e+05,103,103/04/01,305197.341,2769907.631,dismiss
米妮安娜咖啡屋,臺北市大安區仁愛路4段122巷6號,2e+05,103,103/05/21,305523.588,2769978.742,dismiss
洋羊得億國際精品行,臺北市大安區仁愛路4段345巷4弄24號1樓,2e+05,103,103/07/22,305740.281,2770197.689,dismiss
蜂寶暢鑫行,臺北市信義區仁愛路4段496巷15號,2e+05,103,103/07/24,306552.087,2769938.913,dismiss
統元餐坊,臺北市大安區仁愛路4段407號地下、407之1號地下,2e+05,103,103/07/02,306093.442,2770102.446,dismiss
菲歐蕾服飾店,臺北市大安區仁愛路4段385號,2e+05,103,103/08/27,306017.421,2770104.17,dismiss
野獸派古著服飾店,臺北市大安區仁愛路4段345巷15弄1號,50000,103,103/09/01,305916.449,2770214.41,dismiss
十號小吃店,臺北市大安區仁愛路4段112巷3弄10號,2e+05,103,103/09/15,305513.529,2769996.02,dismiss
霏玲服飾,臺北市大安區仁愛路4段151巷11號1樓,2e+05,103,103/09/17,305688.135,2770191.902,dismiss
大吉百貨行,臺北市大安區仁愛路4段67號1樓,2e+05,103,103/09/12,305192.062,2770121.507,dismiss
鹿發小吃店,臺北市大安區仁愛路4段345巷5弄15號,3e+05,103,103/11/07,305973.229,2770160.749,dismiss
克勞斯咖啡店,臺北市大安區仁愛路4段91巷23號,2e+05,104,104/01/19,305158.76,2770169.947,dismiss
雪麗髮型工作室,臺北市大安區仁愛路4段345巷15弄3號,2e+05,104,104/05/29,305922.187,2770210.34,dismiss
一之鄉食品行,臺北市大安區仁愛路4段405號1樓,30000,104,104/06/29,306081.129,2770102.626,dismiss
魚小町小吃店,臺北市大安區仁愛路4段105巷7號1樓,2e+05,104,104/06/04,305529.907,2770164.993,dismiss
福地輕食舖,臺北市大安區仁愛路4段48巷19之1號1樓,1e+05,104,104/06/01,305210.705,2769939.893,dismiss
修鞋王國實業行,臺北市大安區仁愛路4段48巷17號,2e+06,104,104/07/20,305210.906,2769954.56,dismiss
家安糊紙店,臺北市信義區仁愛路4段454號1樓,240000,104,104/07/17,306446.014,2770026.452,dismiss
台新咖啡坊,臺北市大安區仁愛路4段112巷3弄10號1樓,2e+05,104,104/07/29,305513.529,2769996.02,dismiss
穎蓁早餐店,臺北市大安區仁愛路4段8巷31號,2e+05,104,104/08/21,304936.642,2769910.689,dismiss
冠雅咖啡館,臺北市信義區仁愛路4段434號1樓,2e+05,104,104/08/14,306333.689,2770030.913,dismiss
日出咖啡館,臺北市大安區仁愛路4段122巷50號,50000,104,104/09/03,305518.089,2769704.279,dismiss
辰禾富商號,臺北市大安區仁愛路4段151巷11號,230000,104,104/09/16,305688.135,2770191.902,dismiss
艾克斯多工作室,臺北市大安區仁愛路4段345巷4弄24號地下樓,168000,104,104/10/07,305740.281,2770197.689,dismiss
夢遊美甲沙龍,臺北市大安區仁愛路4段48巷30號,5000,104,104/10/19,305197.341,2769907.631,dismiss
東盈小吃店,臺北市大安區仁愛路4段300巷19弄2號,2e+05,104,104/11/23,305962.654,2769895.616,dismiss
樹貓商號,臺北市大安區仁愛路4段345巷4弄11號1樓,1e+05,104,104/11/27,305836.111,2770216.6,dismiss
小師父製麵工坊,臺北市信義區仁愛路4段496巷6號,2e+05,104,104/11/27,306536.449,2769998.508,dismiss
合時服飾行,臺北市大安區仁愛路4段300巷32弄1號1樓,1e+05,104,104/12/25,305936.897,2769823.792,dismiss
永睿服飾店,臺北市大安區仁愛路4段151巷11號1樓,2e+05,105,105/01/18,305688.135,2770191.902,dismiss
佳味小吃店,臺北市大安區仁愛路4段67號1樓,2e+05,105,105/02/25,305192.062,2770121.507,dismiss
氧氣流行茶飲店,臺北市大安區仁愛路4段300巷13號,10000,105,105/03/23,305956.586,2769975.17,dismiss
夏布立小吃店,臺北市大安區仁愛路4段228之6號1樓,1e+05,105,105/04/18,305717.756,2770020.617,dismiss
璞內精品服飾店,臺北市大安區仁愛路4段48巷30號,50000,105,105/04/26,305197.341,2769907.631,dismiss
大豐鎖印店,臺北市大安區仁愛路4段228之2號1樓,5000,105,105/04/18,305705.829,2770035.503,dismiss
派瑞沃克手烘咖啡店,臺北市大安區仁愛路4段151巷11號(1樓),8e+05,105,105/05/26,305688.135,2770191.902,dismiss
尼爾森工作室,臺北市大安區仁愛路4段345巷15弄1號,2e+05,105,105/05/30,305916.449,2770214.41,dismiss
清水糖古早味紅茶店,臺北市大安區仁愛路4段230號1樓,1e+05,105,105/05/24,305720.417,2770045.671,dismiss
威鑫通訊行,臺北市大安區仁愛路4段48巷19之1號1樓,2e+05,105,105/06/27,305210.705,2769939.893,dismiss
好事樂餐廳,臺北市大安區仁愛路4段377號,2e+05,105,105/06/03,306003.198,2770138.931,dismiss
保葦企業社,臺北市大安區仁愛路4段345巷5弄17號,150000,105,105/06/16,305989.03,2770160.577,dismiss
亞林髮型美容院,臺北市大安區仁愛路4段345巷4弄9號1樓,9000,105,105/06/06,305845.816,2770216.528,dismiss
東門甜不辣小吃店,臺北市大安區仁愛路4段345巷5弄17號,1e+05,105,105/06/07,305989.03,2770160.577,dismiss
溫馨屋,臺北市大安區仁愛路4段345巷4弄24號1樓,50000,105,105/07/04,305740.281,2770197.689,dismiss
京讚堂茶飲,臺北市大安區仁愛路4段230號1樓,1e+05,105,105/07/26,305720.417,2770045.671,dismiss
若熊工作室,臺北市大安區仁愛路4段406之1號,2e+05,105,105/08/31,306188.329,2770037.075,dismiss
八號素蔬食小火鍋,臺北市大安區仁愛路4段300巷19弄6號,239999,105,105/08/25,305978.278,2769895.369,dismiss
素海企業社,臺北市大安區仁愛路4段300巷19弄2號1樓,2e+05,105,105/08/01,305962.654,2769895.616,dismiss
千陽飲料舖,臺北市大安區仁愛路4段48巷9號1樓,150000,105,105/09/05,305211.951,2769999.42,dismiss
桔熙工作室,臺北市大安區仁愛路4段345巷15弄1號,240000,105,105/09/30,305916.449,2770214.41,dismiss
德思企業社,臺北市大安區仁愛路4段300巷35弄2號,2e+05,105,105/10/07,305942.856,2769799.677,dismiss
朵麗朵服飾精品店,臺北市大安區仁愛路4段345巷4弄16號1樓,50000,105,105/11/30,305824.613,2770195.988,dismiss
晴安生活商行,臺北市大安區仁愛路4段91巷13號1樓,1e+05,105,105/11/15,305242.883,2770168.669,dismiss
宜讚商行,臺北市大安區仁愛路4段122巷6號,2e+05,105,105/11/24,305523.588,2769978.742,dismiss
山田天婦羅日本料理,臺北市信義區仁愛路4段504號1樓,2e+05,105,105/11/09,306605.786,2770023.448,dismiss
美綺彩色冲印社,臺北市大安區仁愛路4段266巷15弄14號,8000,105,105/12/26,305880.435,2769939.67,dismiss
亨崎商行,臺北市信義區仁愛路4段502之1號,2e+05,105,105/12/02,306588.942,2770024.419,dismiss
能利室內設計工程行,臺北市大安區仁愛路4段300巷31弄4號1樓,246000,105,105/12/29,306002.549,2769806.392,dismiss
彥傑服飾店,臺北市大安區仁愛路4段117號,2e+05,106,106/03/13,305527.86,2770117.882,dismiss
池記秘滷醬方館,臺北市信義區仁愛路4段452巷5號,2e+05,106,106/03/24,306440.58,2769985.214,dismiss
芷緁時尚宮殿整體造型館,臺北市大安區仁愛路4段105巷7號1樓,50000,106,106/04/07,305529.907,2770164.993,dismiss
麋鹿先生小吃店,臺北市大安區仁愛路4段345巷5弄15號,2e+05,106,106/04/20,305973.229,2770160.749,dismiss
黑水堂義式咖啡館,臺北市大安區仁愛路4段379號1樓,2e+05,106,106/06/01,306008.754,2770138.534,dismiss
郭家莊小吃店,臺北市大安區仁愛路4段48巷7號,120000,106,106/07/28,305212.242,2770017.863,dismiss
舫時光商行,臺北市大安區仁愛路4段300巷32弄1號1樓,2e+05,106,106/08/11,305936.897,2769823.792,dismiss
猴熊咖啡館,臺北市大安區仁愛路4段48巷5號,1e+05,106,106/09/29,305211.95,2770023.718,dismiss
得安醫療器材行,臺北市大安區仁愛路4段300巷15之2號1樓,1e+05,106,106/11/02,305968.14,2769953.106,dismiss
班尼寵物美容造型工房,臺北市大安區仁愛路4段48巷30號,1e+05,106,106/11/13,305197.341,2769907.631,dismiss
仁愛樂活館,臺北市大安區仁愛路4段122巷4號,196000,106,106/12/26,305523.377,2769982.986,dismiss
德馨服飾店,臺北市大安區大安路1段31巷27號,2e+05,101,101/01/16,305234.501,2770773.793,dismiss
純裝扮設計工作室,臺北市大安區大安路1段31巷7號,1e+05,101,101/01/31,305151.251,2770773.373,dismiss
佳洛服飾店,臺北市大安區大安路1段49號,2e+05,101,101/03/22,305123.648,2770678.081,dismiss
藝鑫服飾行,臺北市大安區大安路1段47號,2e+05,101,101/05/28,305123.724,2770682.662,dismiss
陳季敏傢飾精品店,臺北市大安區大安路1段132號,50000,101,101/07/05,305092.467,2770217.946,dismiss
克拉拉義式屋,臺北市大安區大安路1段19巷5號,2e+05,101,101/07/16,305151.535,2770818.595,dismiss
玉珍飲食店,臺北市大安區大安路1段83巷14號,2e+05,101,101/07/03,305197.825,2770420.502,dismiss
美研達人健康企業顧問社,臺北市大安區大安路1段116巷3號地下層,80000,101,101/08/06,305070.392,2770307.45,dismiss
馨鄉商行,臺北市大安區大安路1段202號,2e+05,101,101/08/17,305088.113,2769759.022,dismiss
摩兒精品行,臺北市大安區大安路1段31巷38號,2e+05,101,101/08/30,305229.659,2770752.489,dismiss
伊莎貝菈的殿堂,臺北市大安區大安路1段51巷37號,1e+06,101,101/08/01,305267.343,2770674.142,dismiss
更衣室洋行,臺北市大安區大安路1段53號,1e+06,101,101/09/12,305123.453,2770650.458,dismiss
克拉兒行,臺北市大安區大安路1段21號,168000,101,101/09/05,305128.627,2770804.813,dismiss
花絮商行,臺北市大安區大安路1段59號,1e+05,101,101/10/16,305123.477,2770634.164,dismiss
夏荷夢時尚精品店,臺北市大安區大安路1段51巷49號,2e+05,101,101/11/05,305298.179,2770673.692,dismiss
赤子髮型工作坊,臺北市大安區大安路1段51巷12號1樓,50000,101,101/11/12,305157.373,2770654.491,dismiss
凝結企業社,臺北市大安區大安路1段51巷21號,1e+05,101,101/11/28,305206.379,2770675.531,dismiss
百年忠孝餐飲店,臺北市大安區大安路1段77號地下街,2e+05,101,101/12/18,305126.835,2770531.508,dismiss
旺旺服飾行,臺北市大安區大安路1段67號1樓,95000,101,101/12/06,305122.968,2770593.573,dismiss
依禾精品服飾店,臺北市大安區大安路1段73號,2e+05,102,102/01/08,305125.89,2770568.21,dismiss
滿滿客商行,臺北市大安區大安路1段83巷7號,2e+05,102,102/01/24,305189.189,2770432.634,dismiss
金古椎精品店,臺北市大安區大安路1段51巷24號,2e+05,102,102/01/03,305208.094,2770653.905,dismiss
波果餐廳,臺北市大安區大安路1段51巷33號1樓,2e+05,102,102/01/11,305258.219,2770674.274,dismiss
零捌貳壹服飾店,臺北市大安區大安路1段52巷25號,2e+05,102,102/03/06,304987.027,2770678.014,dismiss
合康精品店,臺北市大安區大安路1段19巷20號,2e+05,102,102/04/30,305213.165,2770801.888,dismiss
風巢餐飲館,臺北市大安區大安路1段31巷52號,2e+05,102,102/04/30,305289.883,2770751.38,dismiss
我的飾精品行,臺北市大安區大安路1段31巷38號,2e+05,102,102/04/02,305229.659,2770752.489,dismiss
紫安衣館,臺北市大安區大安路1段51巷21號,5000,102,102/05/02,305206.379,2770675.531,dismiss
漢娜艾克服飾店,臺北市大安區大安路1段51巷17號,1e+05,102,102/06/14,305188.107,2770675.593,dismiss
哈奇寵物生活館,臺北市大安區大安路1段211號1樓,1e+06,102,102/06/11,305106.893,2769763.958,dismiss
沛喬精品店,臺北市大安區大安路1段51巷49號,2e+05,102,102/07/16,305298.179,2770673.692,dismiss
十足養生館,臺北市大安區大安路1段19巷8號,1e+05,102,102/08/07,305153.253,2770800.855,dismiss
袋鼠媽咪童裝,臺北市大安區大安路1段31巷7號,30000,102,102/09/26,305151.251,2770773.373,dismiss
易達服裝用品店,臺北市大安區大安路1段51巷37號,45000,102,102/09/03,305267.343,2770674.142,dismiss
家瑋商行,臺北市大安區大安路1段187號,2e+05,102,102/09/26,305108.39,2769866.211,dismiss
匠太小吃店,臺北市大安區大安路1段83巷6號,2e+05,102,102/11/05,305148.473,2770417.285,dismiss
君汝好商行,臺北市大安區大安路1段51巷33號,2e+05,102,102/11/28,305258.219,2770674.274,dismiss
真楢味小吃店,臺北市大安區大安路1段51巷30號,50000,102,102/11/18,305235.096,2770651.098,dismiss
金城服飾店,臺北市大安區大安路1段53號,2e+05,102,102/12/31,305123.453,2770650.458,dismiss
吉米串燒屋,臺北市大安區大安路1段52巷25號,5e+05,102,102/12/03,304987.027,2770678.014,dismiss
琇客樂餐廳,臺北市大安區大安路1段75巷9號,2e+05,102,102/12/13,305172.117,2770574.561,dismiss
美麗極采妝精品店,臺北市大安區大安路1段71號,2e+05,102,102/10/15,305123.002,2770580.326,dismiss
寶發商行,臺北市大安區大安路1段234號,50000,103,103/01/06,305084.996,2769633.417,dismiss
上道商行,臺北市大安區大安路1段31巷2號1樓,2e+05,103,103/01/06,305137.844,2770755.092,dismiss
每酈髮沙龍名店,臺北市大安區大安路1段16巷19、21號,10000,103,103/02/24,305034.393,2770783.223,dismiss
美樂林小吃店,臺北市大安區大安路1段31巷50號,2e+05,103,103/03/27,305282.754,2770751.512,dismiss
金田百貨行,臺北市大安區大安路1段9號,10000,103,103/03/04,305126.421,2770841.446,dismiss
依平方商行,臺北市大安區大安路1段31巷38號,1e+05,103,103/04/28,305229.659,2770752.489,dismiss
佐久間商行,臺北市大安區大安路1段31巷19號1樓,2e+05,103,103/08/07,305209.211,2770773.326,dismiss
東霆創意整合工作室,臺北市大安區大安路1段116巷5號地下,2e+05,103,103/09/19,305061.986,2770307.33,dismiss
八一八工作室,臺北市大安區大安路1段175巷7號,2e+06,103,103/09/29,305166.056,2769932.193,dismiss
博恩堂漢藥行,臺北市大安區大安路1段16巷7號,1e+06,103,103/10/07,305082.439,2770784.063,dismiss
三多精品服飾店,臺北市大安區大安路1段51巷15號1樓,2e+05,103,103/10/01,305178.404,2770675.627,dismiss
艾麗絲精品店,臺北市大安區大安路1段63號,2e+05,103,103/10/29,305122.971,2770605.674,dismiss
羅勒美香雅舍,臺北市大安區大安路1段228號,1e+05,103,103/11/05,305083.739,2769645.837,dismiss
原藝燒肉店,臺北市大安區大安路1段9號,2e+05,103,103/11/27,305126.421,2770841.446,dismiss
汕水工茶行,臺北市大安區大安路1段223號(1樓),60000,103,103/12/12,305107.099,2769727.455,dismiss
加州廚坊,臺北市大安區大安路1段92號1樓,1e+05,103,103/12/30,305095.921,2770400.038,dismiss
千瑞銀樓,臺北市大安區大安路1段51巷30號1樓,2e+05,103,103/12/04,305235.096,2770651.098,dismiss
吉比利服飾店,臺北市大安區大安路1段51巷24號,1e+05,104,104/01/21,305208.094,2770653.905,dismiss
覓食小吃店,臺北市大安區大安路1段84巷22號,2e+05,104,104/01/05,304975.217,2770422.433,dismiss
艾思美容美髮材料行,臺北市大安區大安路1段144巷1號,2e+05,104,104/03/25,305064.482,2770177.073,dismiss
比崎餐廳,臺北市大安區大安路1段51巷22號,2e+06,104,104/04/28,305200.093,2770654.005,dismiss
小慧魚仔店,臺北市大安區大安路1段19巷3號,150000,104,104/05/13,305145.508,2770818.747,dismiss
萊兒造型工作坊,臺北市大安區大安路1段84巷8號,220000,104,104/05/28,305053.185,2770421.614,dismiss
愛孩子商行,臺北市大安區大安路1段51巷21號,1e+05,104,104/05/01,305206.379,2770675.531,dismiss
蒔宇餐坊,臺北市大安區大安路1段147號地下(1樓),2e+05,104,104/05/29,305113.352,2770123.791,dismiss
蘿亞精品美學工作室,臺北市大安區大安路1段52巷24之1號,2e+05,104,104/06/03,305000.936,2770646.465,dismiss
鉅湖行,臺北市大安區大安路1段77號地下街34之2店鋪,240000,104,104/06/01,305126.835,2770531.508,dismiss
美好企業社,臺北市大安區大安路1段51巷17號,2e+05,104,104/06/01,305188.107,2770675.593,dismiss
清龍百貨行,臺北市大安區大安路1段31巷2號,2e+05,104,104/06/15,305137.844,2770755.092,dismiss
洪楹企業社,臺北市大安區大安路1段31巷38號(1樓),238000,104,104/06/29,305229.659,2770752.489,dismiss
呂孔維工作室,臺北市大安區大安路1段176巷27號1樓,2e+05,104,104/06/15,304964.891,2769936.097,dismiss
福進小吃店,臺北市大安區大安路1段157巷3號1樓,2e+05,104,104/07/02,305129.361,2770021.086,dismiss
知味房小吃店,臺北市大安區大安路1段52巷21號,1e+05,104,104/07/27,305006.273,2770677.882,dismiss
尖沙嘴燒臘,臺北市大安區大安路1段52巷22號,80000,104,104/07/29,305010.197,2770646.331,dismiss
小蒂的衣櫃精品店,臺北市大安區大安路1段31巷5號,150000,104,104/08/10,305143.26,2770773.511,dismiss
朵薇精品工作室,臺北市大安區大安路1段196巷2號,1e+05,104,104/08/10,305071.396,2769808.035,dismiss
大瀧燒肉店,臺北市大安區大安路1段51巷7號,30000,104,104/09/07,305153.472,2770675.776,dismiss
祝福田冰菓店,臺北市大安區大安路1段210號,1e+05,104,104/09/15,305088.181,2769721.453,dismiss
糖盛飲料店,臺北市大安區大安路1段51巷7之1號,180000,104,104/10/13,305156.809,2770675.766,dismiss
函萱私房小吃店,臺北市大安區大安路1段19巷3號1樓,60000,104,104/10/16,305145.508,2770818.747,dismiss
巴爾森飲食坊,臺北市大安區大安路1段83巷7號,60000,104,104/11/19,305189.189,2770432.634,dismiss
崇光快速沖印社,臺北市大安區大安路1段52巷30號1樓,2e+05,104,104/11/03,304987.74,2770646.828,dismiss
跟隨服飾店,臺北市大安區大安路1段51巷9號,2e+05,104,104/12/04,305160.42,2770675.688,dismiss
億家商行,臺北市大安區大安路1段31巷3號,2e+05,104,104/12/09,305134.982,2770773.655,dismiss
易達商行,臺北市大安區大安路1段52巷19號,45000,105,105/01/30,305015.148,2770677.822,dismiss
安霆企業社,臺北市大安區大安路1段51巷30號,250000,105,105/01/29,305235.096,2770651.098,dismiss
唐暄容服飾店,臺北市大安區大安路1段31巷26號,2e+05,105,105/01/07,305213.398,2770748.409,dismiss
瑪莉酥工作室,臺北市大安區大安路1段19巷20號,2e+05,105,105/01/13,305213.165,2770801.888,dismiss
快買時計行,臺北市大安區大安路1段8號1樓,1e+05,105,105/01/22,305106.606,2770842.43,dismiss
北新商行,臺北市大安區大安路1段31巷29號,2e+05,105,105/02/17,305244.215,2770773.568,dismiss
桑兒卡樂服飾店,臺北市大安區大安路1段31巷13號,50000,105,105/03/01,305176.09,2770771.16,dismiss
心象設計攝影工作室,臺北市大安區大安路1段51巷20號,2e+05,105,105/03/15,305189.537,2770654.139,dismiss
從鮮開始蔬果站,臺北市大安區大安路1段16巷5號,50000,105,105/03/03,305086.634,2770784.025,dismiss
家囷服飾行,臺北市大安區大安路1段52巷19號,1e+06,105,105/04/01,305015.148,2770677.822,dismiss
福爺英式茶飲店,臺北市大安區大安路1段210號,2e+05,105,105/04/15,305088.181,2769721.453,dismiss
巽得飲料商行,臺北市大安區大安路1段232號1樓,1e+05,105,105/04/01,305085.277,2769637.376,dismiss
